Percentile,Medicaid,Medicare,Medicare+Medicaid,CHIP,Military,Direct Purchase,Employer,Other,Uninsured,Subsidized Exchange,type,year,,Medicaid,Medicare,Medicare+Medicaid,CHIP,Military,Direct Purchase,Employer,Other,Uninsured,Subsidized Exchange
86,0.022,0.1,0.007,0.002,0.033,0.05,0.708,0.015,0.065,0,smoothed,2009,,0.0022,0.01,0.0007,0.0002,0.0033,0.005,0.0708,0.0015,0.0065,0
87,0.023,0.093,0.006,0.001,0.026,0.05,0.72,0.014,0.066,0,smoothed,2009,,0.0023,0.0093,0.0006,0.0001,0.0026,0.005,0.072,0.0014,0.0066,0
88,0.024,0.102,0.007,0.002,0.034,0.045,0.709,0.012,0.065,0,smoothed,2009,,0.0024,0.0102,0.0007,0.0002,0.0034,0.0045,0.0709,0.0012,0.0065,0
89,0.025,0.101,0.006,0.002,0.036,0.054,0.703,0.012,0.062,0,smoothed,2009,,0.0025,0.0101,0.0006,0.0002,0.0036,0.0054,0.0703,0.0012,0.0062,0
90,0.021,0.105,0.004,0.001,0.044,0.054,0.697,0.011,0.063,0,smoothed,2009,,0.0021,0.0105,0.0004,0.0001,0.0044,0.0054,0.0697,0.0011,0.0063,0
91,0.016,0.103,0.005,0,0.038,0.06,0.706,0.011,0.061,0,smoothed,2009,,0.0016,0.0103,0.0005,0,0.0038,0.006,0.0706,0.0011,0.0061,0
92,0.016,0.1,0.006,0.001,0.037,0.056,0.716,0.009,0.059,0,smoothed,2009,,0.0016,0.01,0.0006,0.0001,0.0037,0.0056,0.0716,0.0009,0.0059,0
93,0.014,0.101,0.007,0.001,0.034,0.057,0.724,0.007,0.056,0,smoothed,2009,,0.0014,0.0101,0.0007,0.0001,0.0034,0.0057,0.0724,0.0007,0.0056,0
94,0.013,0.113,0.006,0.001,0.031,0.06,0.713,0.007,0.056,0,smoothed,2009,,0.0013,0.0113,0.0006,0.0001,0.0031,0.006,0.0713,0.0007,0.0056,0
95,0.01,0.116,0.004,0.001,0.029,0.067,0.706,0.009,0.058,0,smoothed,2009,,0.001,0.0116,0.0004,0.0001,0.0029,0.0067,0.0706,0.0009,0.0058,0
96,0.01,0.136,0.004,0.001,0.031,0.075,0.681,0.009,0.054,0,smoothed,2009,,0.001,0.0136,0.0004,0.0001,0.0031,0.0075,0.0681,0.0009,0.0054,0
97,0.013,0.118,0.003,0.002,0.032,0.082,0.695,0.009,0.046,0,smoothed,2009,,0.0013,0.0118,0.0003,0.0002,0.0032,0.0082,0.0695,0.0009,0.0046,0
98,0.018,0.104,0.002,0.002,0.026,0.08,0.701,0.007,0.059,0,smoothed,2009,,0.0018,0.0104,0.0002,0.0002,0.0026,0.008,0.0701,0.0007,0.0059,0
99,0.021,0.071,0.003,0.002,0.017,0.08,0.722,0.007,0.077,0,smoothed,2009,,0.0021,0.0071,0.0003,0.0002,0.0017,0.008,0.0722,0.0007,0.0077,0
100,0.021,0.066,0.003,0.001,0.013,0.075,0.717,0.005,0.1,0,smoothed,2009,,0.0021,0.0066,0.0003,0.0001,0.0013,0.0075,0.0717,0.0005,0.01,0
0,0.202,0.237,0.032,0.006,0.021,0.074,0.178,0.004,0.214,0.032,smoothed,2020,,0.0404,0.0474,0.0064,0.0012,0.0042,0.0148,0.0356,0.0008,0.0428,0.0064
1,0.249,0.225,0.034,0.007,0.021,0.067,0.164,0.004,0.197,0.032,smoothed,2020,,0.0498,0.045,0.0068,0.0014,0.0042,0.0134,0.0328,0.0008,0.0394,0.0064
2,0.327,0.196,0.041,0.01,0.02,0.044,0.149,0.002,0.185,0.026,smoothed,2020,,0.0654,0.0392,0.0082,0.002,0.004,0.0088,0.0298,0.0004,0.037,0.0052
3,0.341,0.194,0.044,0.011,0.017,0.043,0.153,0.002,0.169,0.026,smoothed,2020,,0.0682,0.0388,0.0088,0.0022,0.0034,0.0086,0.0306,0.0004,0.0338,0.0052
4,0.345,0.201,0.048,0.013,0.016,0.034,0.146,0.001,0.169,0.027,smoothed,2020,,0.069,0.0402,0.0096,0.0026,0.0032,0.0068,0.0292,0.0002,0.0338,0.0054
5,0.339,0.212,0.051,0.013,0.011,0.027,0.142,0.002,0.176,0.027,smoothed,2020,,0.0678,0.0424,0.0102,0.0026,0.0022,0.0054,0.0284,0.0004,0.0352,0.0054
6,0.34,0.22,0.053,0.012,0.01,0.027,0.143,0.003,0.163,0.027,smoothed,2020,,0.068,0.044,0.0106,0.0024,0.002,0.0054,0.0286,0.0006,0.0326,0.0054
7,0.327,0.225,0.06,0.01,0.011,0.03,0.155,0.003,0.154,0.024,smoothed,2020,,0.0654,0.045,0.012,0.002,0.0022,0.006,0.031,0.0006,0.0308,0.0048
8,0.327,0.233,0.063,0.01,0.01,0.029,0.157,0.003,0.142,0.027,smoothed,2020,,0.0654,0.0466,0.0126,0.002,0.002,0.0058,0.0314,0.0006,0.0284,0.0054
9,0.343,0.231,0.06,0.012,0.011,0.025,0.153,0.002,0.138,0.024,smoothed,2020,,0.0686,0.0462,0.012,0.0024,0.0022,0.005,0.0306,0.0004,0.0276,0.0048
10,0.355,0.227,0.051,0.013,0.008,0.023,0.16,0.002,0.14,0.022,smoothed,2020,,0.071,0.0454,0.0102,0.0026,0.0016,0.0046,0.032,0.0004,0.028,0.0044
11,0.337,0.226,0.047,0.012,0.01,0.023,0.174,0.002,0.15,0.018,smoothed,2020,,0.0674,0.0452,0.0094,0.0024,0.002,0.0046,0.0348,0.0004,0.03,0.0036
12,0.343,0.224,0.046,0.012,0.009,0.024,0.184,0.001,0.14,0.018,smoothed,2020,,0.0686,0.0448,0.0092,0.0024,0.0018,0.0048,0.0368,0.0002,0.028,0.0036
13,0.333,0.223,0.046,0.01,0.009,0.022,0.198,0.003,0.141,0.015,smoothed,2020,,0.0666,0.0446,0.0092,0.002,0.0018,0.0044,0.0396,0.0006,0.0282,0.003
14,0.336,0.217,0.048,0.012,0.01,0.02,0.198,0.004,0.137,0.017,smoothed,2020,,0.0672,0.0434,0.0096,0.0024,0.002,0.004,0.0396,0.0008,0.0274,0.0034
15,0.328,0.208,0.042,0.015,0.013,0.02,0.209,0.005,0.138,0.022,smoothed,2020,,0.0656,0.0416,0.0084,0.003,0.0026,0.004,0.0418,0.001,0.0276,0.0044
16,0.325,0.188,0.039,0.019,0.014,0.031,0.222,0.005,0.132,0.024,smoothed,2020,,0.065,0.0376,0.0078,0.0038,0.0028,0.0062,0.0444,0.001,0.0264,0.0048
17,0.322,0.175,0.031,0.021,0.015,0.033,0.244,0.005,0.129,0.025,smoothed,2020,,0.0644,0.035,0.0062,0.0042,0.003,0.0066,0.0488,0.001,0.0258,0.005
18,0.305,0.169,0.031,0.017,0.016,0.039,0.257,0.006,0.133,0.026,smoothed,2020,,0.061,0.0338,0.0062,0.0034,0.0032,0.0078,0.0514,0.0012,0.0266,0.0052
19,0.307,0.171,0.029,0.016,0.016,0.034,0.263,0.004,0.132,0.028,smoothed,2020,,0.0614,0.0342,0.0058,0.0032,0.0032,0.0068,0.0526,0.0008,0.0264,0.0056
20,0.302,0.167,0.028,0.014,0.016,0.032,0.273,0.002,0.132,0.033,smoothed,2020,,0.0604,0.0334,0.0056,0.0028,0.0032,0.0064,0.0546,0.0004,0.0264,0.0066
21,0.298,0.162,0.027,0.015,0.015,0.026,0.287,0.002,0.14,0.028,smoothed,2020,,0.0596,0.0324,0.0054,0.003,0.003,0.0052,0.0574,0.0004,0.028,0.0056
22,0.27,0.167,0.027,0.013,0.022,0.024,0.305,0.004,0.141,0.027,smoothed,2020,,0.054,0.0334,0.0054,0.0026,0.0044,0.0048,0.061,0.0008,0.0282,0.0054
23,0.254,0.163,0.024,0.014,0.021,0.033,0.315,0.005,0.147,0.023,smoothed,2020,,0.0508,0.0326,0.0048,0.0028,0.0042,0.0066,0.063,0.001,0.0294,0.0046
24,0.241,0.165,0.022,0.015,0.024,0.037,0.313,0.008,0.146,0.03,smoothed,2020,,0.0482,0.033,0.0044,0.003,0.0048,0.0074,0.0626,0.0016,0.0292,0.006
25,0.255,0.159,0.02,0.015,0.02,0.037,0.309,0.007,0.147,0.032,smoothed,2020,,0.051,0.0318,0.004,0.003,0.004,0.0074,0.0618,0.0014,0.0294,0.0064
26,0.255,0.159,0.022,0.015,0.02,0.035,0.314,0.006,0.141,0.035,smoothed,2020,,0.051,0.0318,0.0044,0.003,0.004,0.007,0.0628,0.0012,0.0282,0.007
27,0.253,0.146,0.021,0.016,0.018,0.028,0.345,0.003,0.136,0.034,smoothed,2020,,0.0506,0.0292,0.0042,0.0032,0.0036,0.0056,0.069,0.0006,0.0272,0.0068
28,0.221,0.147,0.017,0.017,0.023,0.031,0.366,0.005,0.138,0.036,smoothed,2020,,0.0442,0.0294,0.0034,0.0034,0.0046,0.0062,0.0732,0.001,0.0276,0.0072
29,0.216,0.153,0.013,0.015,0.027,0.034,0.367,0.006,0.135,0.034,smoothed,2020,,0.0432,0.0306,0.0026,0.003,0.0054,0.0068,0.0734,0.0012,0.027,0.0068
30,0.215,0.164,0.014,0.012,0.032,0.04,0.358,0.005,0.13,0.03,smoothed,2020,,0.043,0.0328,0.0028,0.0024,0.0064,0.008,0.0716,0.001,0.026,0.006
31,0.217,0.171,0.02,0.011,0.024,0.033,0.363,0.002,0.124,0.034,smoothed,2020,,0.0434,0.0342,0.004,0.0022,0.0048,0.0066,0.0726,0.0004,0.0248,0.0068
32,0.206,0.175,0.021,0.01,0.023,0.036,0.381,0.002,0.115,0.031,smoothed,2020,,0.0412,0.035,0.0042,0.002,0.0046,0.0072,0.0762,0.0004,0.023,0.0062
